หน่วยงาน/โครงการ,ชื่อผู้รับเหมา,ตำแหน่งงาน
Prannok-Tadmai (DH2),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานบริการ / ริกเกอร์ / ขับเครน
Prannok-Tadmai (DH2),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานไฟฟ้าและประปา
Prannok-Tadmai (DH2),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสโตร์
Prannok-Tadmai (DH2),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์
Prannok-Tadmai (DH2),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซอร์เวย์
Prannok-Tadmai (DH2),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,แม่บ้านแคมป์
Prannok-Tadmai (DH2),หจก.ฉลองชัย คอนสตรัคชั่น,งานโครงสร้าง
Rich Point@BTS Wutthakat,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เก็บงานหลังแผ่นดินไหวและงานหลังขาย
Rich Point@BTS Wutthakat,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,แม่บ้านทำความสะอาด
Rich Point@BTS Wutthakat,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์
S'RIN Ratchaphruek Sai1,บจก.รุ่งเรืองนาม,งานสี
S'RIN Ratchaphruek Sai1,บจก.เสาร์ห้า เอ็นจิเนียริ่ง,งานไฟฟ้า
S'RIN Ratchaphruek Sai1,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เก็บงานหลังการขาย
S'RIN Ratchaphruek Sai1,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์
S'RIN Ratchaphruek Sai1,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,แม่บ้านแคมป์
S'RIN Ratchaphruek Sai1,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,แม่บ้านออฟฟิศ
S'RIN Ratchaphruek Sai1,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ส่วนงานบริการ
S'RIN Ratchaphruek Sai1,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ส่วนงานสโตร์
S'RIN Ratchaphruek Sai1,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ส่วนงานSafety
Sukhumvit 29 Hotel,น.ส. ณัฐนันท์ อ่อนคำหล้า (พัชราภรณ์),เก็บงาน QC
Sukhumvit 29 Hotel,น.ส.ธัญญามาศ สายกลิ่น,งานไฟฟ้า
Sukhumvit 29 Hotel,น.ส.วิไลวรรณ พากเพียร,งาน แก้ไขบานประตู
Sukhumvit 29 Hotel,น.ส. สุธาทิพย์ กรีชาลี (สมพงษ์),งาน QC2
Sukhumvit 29 Hotel,นางอรัญญา กลัดเข็มทอง (สันติ),งานไฟฟ้า
Sukhumvit 29 Hotel,นายจักรกฤษณ์ ศรีสุวะ,งานไฟฟ้า
Sukhumvit 29 Hotel,นายพยงศักดิ์ โสภา,งานระบบสุขาภิบาล
Sukhumvit 29 Hotel,นายสุนทร ทองบุตร,งานไฟฟ้า
Sukhumvit 29 Hotel,นายสุริยะ สิงห์สำราญ (เอมอร),งาน QC2
Sukhumvit 29 Hotel,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานทั่วไป
Sukhumvit 29 Hotel,หจก.จิตติพัฒน์ เจริญทรัพย์,งาน QC2
The Base เพชรบุรี-ทองหล่อ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์
THYME,บจก.ที.โอ.บี ก่อสร้าง,งานโครงสร้าง
THYME,บจก.เที่ยงตรง คอนสตรัคชั่น ( นายศรายุทธ บูรณะ),งานโครงสร้าง
THYME,บจก.พีรญา ก่อสร้าง,งานสถาปัตย์
THYME,บจก.รอยยิ้มนักสู้ คอนสตรัคชั่น,งานโครงสร้าง
Valles Haus,บจก.ที.โอ.บี ก่อสร้าง,งานโครงสร้าง
Valles Haus,บจก.เที่ยงตรง คอนสทรัคชั่น (2024),งานโครงสร้าง
Valles Haus,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานไฟฟ้า
